uniqueid,sitetype2,orgunituid,sitename,snu1,snu2,psnu,snu1uid,psnuuid,snu2uid,diff_snu2,gis_na,lon,lat
31,1,n2XQ6lwoh1F,Eket Kp One Stop Shop - Virtual,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,1,7.947768497,4.637130767
32,1,Iee1N2D1sEk,Utibe-Abasi Clinic,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.9562,4.65025
33,1,E9W18MRDpHr,Abasi Ekeme Specialist Clinic,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.92884,4.63798
34,1,b1NaIppiMoR,Iko Eket Health Centre,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.97851,4.64587
35,1,kkI0QLOo7Cb,Redemption Medical Centre,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.93921,4.644
36,1,ULIxtdPb4SY,Oron Eket Comprehensive Health Centre,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.91284,4.68763
37,1,FEqplgChAw6,Miracle Medical Center,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,1,7.947768497,4.637130767
38,1,p1hUDs2I1VT,Afaha Eket Holifield Hospital,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.93137,4.65105
39,1,jfE3XKBsFEv,Effoi Primary Health Centre,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,8.00326,4.66779
40,1,uz0kFwLBXqH,Ikot Ebak Poly Clinic,Akwa Ibom,Eket,ak Eket,pRNjUammgeK,LtNhTo6ObDy,LtNhTo6ObDy,0,0,7.92352,4.64194
41,1,jTiweHpRvd4,Idung Assan Health Centre,Akwa Ibom,Esit Eket,ak Esit Eket,pRNjUammgeK,DbuyCcoGr3o,DbuyCcoGr3o,0,0,8.12961,4.65686
42,1,x05yQuVFI0B,Esit Eket Kp One Stop Shop- Virtual,Akwa Ibom,Esit Eket,ak Esit Eket,pRNjUammgeK,DbuyCcoGr3o,DbuyCcoGr3o,0,1,8.074903038,4.640030861
43,1,Y3V3tF7afSJ,Ukana Iba St Joseph's Rehabilitation Center,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.72405,5.09996
44,1,Xa1RCh7Z2aC,Afaha Ikot Ebak Primary Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.66894,5.12994
45,1,U2K4ultRYwn,Ekpenyong 1 Midim Atan Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.64001,5.06372
46,1,K9OmyQ07Mwj,Iko Otu Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,1,0,7.650083552,5.10901408
47,1,t9wRY1A0DLe,Ikpe Annang Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.7622,5.10388
48,1,JgABdnCf8Qn,Ukana Cottage Hospital,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.71444,5.1362
49,1,axdbSUSdU1I,Ukana East Primary Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,1,0,7.650083552,5.10901408
50,1,gsw0bzX58MQ,Adiasim Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.69998,5.07477
51,1,B1Bapm1p7o3,Ikot Akpan Effia Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,1,0,7.650083552,5.10901408
52,1,NHl3PTFAptU,Ikot Ide Health Centre,Akwa Ibom,Essien Udim,ak Essien Udim,pRNjUammgeK,Z5atgpujIuB,Z5atgpujIuB,0,0,7.5876,5.12259
53,1,Zc488VQQEt0,Etim Ekpo Primary Health Centre,Akwa Ibom,Etim Ekpo,ak Etim Ekpo,pRNjUammgeK,KF4B3lAghd8,KF4B3lAghd8,0,0,7.6042,4.9936
54,1,FKlk0W9Cyp1,Etim Ekpo General Hospital,Akwa Ibom,Etim Ekpo,ak Etim Ekpo,pRNjUammgeK,KF4B3lAghd8,KF4B3lAghd8,0,0,7.605,4.99375
55,1,XEVEfbVmz3i,Utu Etim Ekpo Divine Love Hospital,Akwa Ibom,Etim Ekpo,ak Etim Ekpo,pRNjUammgeK,KF4B3lAghd8,KF4B3lAghd8,0,0,7.60171,5.0063
56,1,FUujN2317DQ,Ikot Ebo Health Centre,Akwa Ibom,Etim Ekpo,ak Etim Ekpo,pRNjUammgeK,KF4B3lAghd8,KF4B3lAghd8,0,0,7.68976,5.0078
57,1,Q3on4cO0m0B,Oniong Primary Health Centre,Akwa Ibom,Etinan,ak Etinan,pRNjUammgeK,fpXkddgSxc2,fpXkddgSxc2,0,0,7.81085,4.79593
58,1,zFIutbAwvSN,Ikot Obio Inyang Primary Health Centre,Akwa Ibom,Etinan,ak Etinan,pRNjUammgeK,fpXkddgSxc2,fpXkddgSxc2,0,0,7.83646,4.96108
59,1,PHZvwBEXVNN,Etinan Primary Health Centre,Akwa Ibom,Etinan,ak Etinan,pRNjUammgeK,fpXkddgSxc2,fpXkddgSxc2,0,0,7.84548,4.84558
60,1,iaDfLinhr5R,Etinan General Hospital,Akwa Ibom,Etinan,ak Etinan,pRNjUammgeK,fpXkddgSxc2,fpXkddgSxc2,0,0,7.86575,4.82571
61,1,f2d3oP0aYEL,Ndon Utim Primary Health Centre,Akwa Ibom,Etinan,ak Etinan,pRNjUammgeK,fpXkddgSxc2,fpXkddgSxc2,0,0,7.82493,4.82159
62,1,j4Hmo4w9Lia,Ekpene Obom Qic Rehabilitation Hosp,Akwa Ibom,Etinan,ak Etinan,pRNjUammgeK,fpXkddgSxc2,fpXkddgSxc2,0,0,7.82049,4.86188
63,1,IT1CAw7NmXo,Ibeno Cottage Hospital,Akwa Ibom,Ibeno,ak Ibeno,pRNjUammgeK,KTBSBPINZ9K,KTBSBPINZ9K,0,0,7.98713,4.58142
64,1,VoSVcYuqhJM,Inua Eyet Ikot Health Post,Akwa Ibom,Ibeno,ak Ibeno,pRNjUammgeK,KTBSBPINZ9K,KTBSBPINZ9K,1,0,8.07241367,4.56302879
65,1,Z19xPuBd18b,Iwuo Achang Health Post,Akwa Ibom,Ibeno,ak Ibeno,pRNjUammgeK,KTBSBPINZ9K,KTBSBPINZ9K,0,0,7.96694,4.57183
66,1,YCp9aLmSmMt,Mkpanak Primary Health Center,Akwa Ibom,Ibeno,ak Ibeno,pRNjUammgeK,KTBSBPINZ9K,KTBSBPINZ9K,0,0,8.00158,4.5479
67,1,ZEzwS0h2jaP,Nung Udoe Primary Health Centre,Akwa Ibom,Ibesikpo Asutan,ak Ibesikpo Asutan,pRNjUammgeK,FJORitdoOgZ,FJORitdoOgZ,0,0,7.97423,4.90879
68,1,mxeORAzNzal,Akpautong Mt. Camel Hospital,Akwa Ibom,Ibesikpo Asutan,ak Ibesikpo Asutan,pRNjUammgeK,FJORitdoOgZ,FJORitdoOgZ,1,0,7.955150293,4.92381586
69,1,nRQR9n0Notl,Ibesikpo Asutan Kp One Stop Shop- Virtual,Akwa Ibom,Ibesikpo Asutan,ak Ibesikpo Asutan,pRNjUammgeK,FJORitdoOgZ,FJORitdoOgZ,0,1,7.955150293,4.92381586
70,1,YkKtpQkI0DA,Ikot Adaidem Primary Health Centre,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,0,0,7.85888,5.07505
71,1,O7NJlDikfE3,Ikpa Ikot Uneke Primary Health Centre,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,0,0,7.90636,5.19197
72,1,SP2SZmnD5Z2,Nsan Health Centre,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,0,0,7.8825,5.145
73,1,la2EIA7OXJ4,Ikot Idaha Primary Health Centre,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,1,0,7.884837271,5.206787257
74,1,IQPiXfRGT1k,Ibiono Palmer Memorial Hospital,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,1,0,7.884837271,5.206787257
75,1,eIEQfJzXHKC,Ntan Ibiono Eduwem Clinic,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,0,0,7.87433,5.18513
76,1,UcFUTdO5sQv,Ibiono Handmaids Hospital,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,1,0,7.884837271,5.206787257
77,1,MhiC9GiE5lB,Use Abat St. Theresa's Hospital,Akwa Ibom,Ibiono Ibom,ak Ibiono Ibom,pRNjUammgeK,RFu8InHRI0P,RFu8InHRI0P,0,0,7.84562,5.11143
78,1,xXOQrRBckBG,Ikot Akpan Anwa Primary Health Centre,Akwa Ibom,Ika,ak Ika,pRNjUammgeK,uU7VK6bHY0b,uU7VK6bHY0b,0,0,7.51898,5.00715
79,1,xxKS86N6Lfm,Nto Etuk Udo Health Centre,Akwa Ibom,Ika,ak Ika,pRNjUammgeK,uU7VK6bHY0b,uU7VK6bHY0b,0,0,7.49886,4.99732
80,1,H3sTU3dAsbs,Ikot Udom Maternal And Child Health Centre,Akwa Ibom,Ika,ak Ika,pRNjUammgeK,uU7VK6bHY0b,uU7VK6bHY0b,0,0,7.55167,4.99194
81,1,Qohvpui82h3,Urua Inyang Primary Health Centre,Akwa Ibom,Ika,ak Ika,pRNjUammgeK,uU7VK6bHY0b,uU7VK6bHY0b,0,0,7.53743,5.02029
82,1,pKHAFzcVE1m,Achan Ika Health Centre,Akwa Ibom,Ika,ak Ika,pRNjUammgeK,uU7VK6bHY0b,uU7VK6bHY0b,0,0,7.58416,5.03583
83,1,HbrrJf2LRp5,Ediene I Health Centre,Akwa Ibom,Ikono,ak Ikono,pRNjUammgeK,QyiNd4lpoYO,QyiNd4lpoYO,0,0,7.81013,5.13288
84,1,mKEIEuNoACH,Ikono General Hospital,Akwa Ibom,Ikono,ak Ikono,pRNjUammgeK,QyiNd4lpoYO,QyiNd4lpoYO,1,0,7.782402738,5.216690976
85,1,Tk24Hw61cVU,Ibiaku Primary Health Centre (Base),Akwa Ibom,Ikono,ak Ikono,pRNjUammgeK,QyiNd4lpoYO,QyiNd4lpoYO,0,0,7.71833,5.29286
86,1,zGSgjy46Jk7,Ukpom-Ikono Primary Health Centre,Akwa Ibom,Ikono,ak Ikono,pRNjUammgeK,QyiNd4lpoYO,QyiNd4lpoYO,0,0,7.76185,5.2193
87,1,HoVrqZFMKYD,Etip Ediene Primary Health Centre,Akwa Ibom,Ikono,ak Ikono,pRNjUammgeK,QyiNd4lpoYO,QyiNd4lpoYO,0,0,7.79845,5.1957
88,1,FMA9UDB6kWE,Nung Ukim Health Centre,Akwa Ibom,Ikono,ak Ikono,pRNjUammgeK,QyiNd4lpoYO,QyiNd4lpoYO,0,0,7.74721,5.28166
89,1,KatndzTwxHT,Diamond Clinic,Akwa Ibom,Ikot Abasi,ak Ikot Abasi,pRNjUammgeK,KXQgiiDCxNB,KXQgiiDCxNB,0,0,7.55607,4.56172
90,1,cHgGa5eISBs,Fletcher Memorial Hospital,Akwa Ibom,Ikot Abasi,ak Ikot Abasi,pRNjUammgeK,KXQgiiDCxNB,KXQgiiDCxNB,0,0,7.67651,4.60773
91,1,C0810vNbF7i,Base Ikot Abasi Primary Health Centre,Akwa Ibom,Ikot Abasi,ak Ikot Abasi,pRNjUammgeK,KXQgiiDCxNB,KXQgiiDCxNB,0,0,7.55178,4.57446
92,1,YpA4MRYqQj0,Ikot Abasi Kp One Stop Shop- Virtual,Akwa Ibom,Ikot Abasi,ak Ikot Abasi,pRNjUammgeK,KXQgiiDCxNB,KXQgiiDCxNB,0,1,7.626259443,4.607053162
93,1,xczGTH4Vt97,Ememobong Maternity,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.71154,5.18785
94,1,Ptnp8JFEIm0,Abiakpo Ikot Essien Health Centre,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.72332,5.18942
95,1,mLQcXu4kwJW,Confidence Maternity/Med Services,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,1,7.703840156,5.194451367
96,1,FwX6HAGQxcd,Amanyam Primary Health Centre,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.67179,5.20358
97,1,Pm2KhqiRnrM,Ikot Ekpene General Hospital,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.71332,5.17473
98,1,rB78LYw7nv2,Ikot Ekpene Primary Health Centre,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.70706,5.18719
99,1,EEDw1M2T55Y,Ikot Ekpene Infectious Disease Hospital,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.71695,5.17384
100,1,EZHK5RxeelB,Urua Obo Health Post,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.68258,5.23138
101,1,xFHZJRTTmlh,Demak Clinic,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.70055,5.17972
102,1,Zx9325ho5c7,Evergreen Medical Centre,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.71561,5.18494
103,1,xhVxhIA3Qnf,Utu Edem Usung Health Post,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.7176,5.15376
104,1,XIC4LY0shr3,Abiakpo Ntuen Health Post,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,1,0,7.703840156,5.194451367
105,1,La4N3pD6ObS,Ikot Out Health Centre,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,0,7.71758,5.21179
106,1,dpwdySv7O4A,Ikot Epkene Kp One Stop Shop- Virtual,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,0,1,7.703840156,5.194451367
107,1,kfc3JYEMsJl,Ikot Udoe Health Centre,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,1,0,7.703840156,5.194451367
108,1,GghT2riMZPT,Ikot Inyang Health Post,Akwa Ibom,Ikot Ekpene,ak Ikot Ekpene,pRNjUammgeK,Hav0LhcZr8l,Hav0LhcZr8l,1,0,7.703840156,5.194451367
109,1,afAd7DGCtCs,Ikpe Ikot Nkon General Hospital,Akwa Ibom,Ini,ak Ini,pRNjUammgeK,UEO4kGjgWGz,UEO4kGjgWGz,0,0,7.77384,5.39562
110,1,RvPGzlJNy7P,Nkim Itam Health Center,Akwa Ibom,Itu,ak Itu,pRNjUammgeK,zxPmBggJpRL,zxPmBggJpRL,0,0,7.97666,5.14888
111,1,o0yj5lWFi4C,Dan Abia Specialist Clinic,Akwa Ibom,Itu,ak Itu,pRNjUammgeK,zxPmBggJpRL,zxPmBggJpRL,0,1,7.987802791,5.154540924
112,1,j2BkKeOFq2Y,Ikot Utu Model Primary Health Centre,Akwa Ibom,Itu,ak Itu,pRNjUammgeK,zxPmBggJpRL,zxPmBggJpRL,1,0,7.987802791,5.154540924
113,1,NAM9pHOsNfq,Mbiabong Itam Health Center,Akwa Ibom,Itu,ak Itu,pRNjUammgeK,zxPmBggJpRL,zxPmBggJpRL,0,0,7.93027,5.10055
114,1,KVtbjy9j27f,Ikot Andem Itam Primary Health Centre,Akwa Ibom,Itu,ak Itu,pRNjUammgeK,zxPmBggJpRL,zxPmBggJpRL,1,0,7.987802791,5.154540924
115,1,A1xxdELs2fm,Ibaka Primary Health Centre,Akwa Ibom,Mbo,ak Mbo,pRNjUammgeK,UcOzBtlIxjs,UcOzBtlIxjs,0,0,8.31576,4.64727
116,1,xLnu33wq3qm,Uyenghe Primary Health Centre,Akwa Ibom,Mbo,ak Mbo,pRNjUammgeK,UcOzBtlIxjs,UcOzBtlIxjs,0,0,8.24052,4.66785
117,1,K66w8LC7LCL,Enwang Primary Health Centre,Akwa Ibom,Mbo,ak Mbo,pRNjUammgeK,UcOzBtlIxjs,UcOzBtlIxjs,0,0,8.25922,4.66204
118,1,NyAfbYPsCGy,Uda Health Centre,Akwa Ibom,Mbo,ak Mbo,pRNjUammgeK,UcOzBtlIxjs,UcOzBtlIxjs,0,0,8.24052,4.66785
119,1,wByDgXTFiHI,Ebughu Primary Health Center,Akwa Ibom,Mbo,ak Mbo,pRNjUammgeK,UcOzBtlIxjs,UcOzBtlIxjs,0,0,8.25811,4.70921
120,1,qsH4l8otzsd,Mkpat Enin Primary Health Centre,Akwa Ibom,Mkpat Enin,ak Mkpat Enin,pRNjUammgeK,U76V7Aagy0M,U76V7Aagy0M,0,0,7.75016,4.73332
121,1,dyXcc6eMPJ6,Ikot Ekpaw Cottage Hospital,Akwa Ibom,Mkpat Enin,ak Mkpat Enin,pRNjUammgeK,U76V7Aagy0M,U76V7Aagy0M,0,0,7.77901,4.84718
122,1,TTOoi0wF4G9,Nsit Atai Primary Health Centre,Akwa Ibom,Nsit Atai,ak Nsit Atai,pRNjUammgeK,bTbhVIeXl5B,bTbhVIeXl5B,0,0,8.03581,4.82545
123,1,ZbHGHJ6t2fG,Nsit Ubium Primary Health Centre,Akwa Ibom,Nsit Atai,ak Nsit Atai,pRNjUammgeK,bTbhVIeXl5B,bTbhVIeXl5B,1,0,8.031016221,4.826767899
124,1,rSmFsJpZIM9,Ikot Edebe Health Centre,Akwa Ibom,Nsit Atai,ak Nsit Atai,pRNjUammgeK,bTbhVIeXl5B,bTbhVIeXl5B,0,0,8.01775,4.87577
125,1,tA498ltZeR2,Afaha Abia Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.89361,4.88194
126,1,Ekut59UPKnk,Mbiaso Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.89143,4.81898
127,1,tN2SfDBXNkd,Oboetim Ikot Ekang Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.85416,4.93694
128,1,ulunZz6L3UM,Afaha Effiong Op Base Model Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.92199,4.84853
129,1,vPSKCcxAeTR,Mbiokporo I Model Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.87747,4.98186
130,1,WTB0dfJPzMX,Asang Nsit Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.87326,4.91877
131,1,h9ehtLkIDqe,Afia Nsit Primary Health Centre,Akwa Ibom,Nsit Ibom,ak Nsit Ibom,pRNjUammgeK,QzoJtRtnwEK,QzoJtRtnwEK,0,0,7.9214,4.85237
132,1,wQbXqZui5JX,Ikot Ekwere Model Primary Health Centre,Akwa Ibom,Nsit Ubium,ak Nsit Ubium,pRNjUammgeK,uURIdxN44t7,uURIdxN44t7,0,0,7.97478,4.77933
133,1,hiyIFoojK2F,Nsit Ubium Kp One Stop Shop- Virtual,Akwa Ibom,Nsit Ubium,ak Nsit Ubium,pRNjUammgeK,uURIdxN44t7,uURIdxN44t7,0,1,7.96004174,4.748460642
134,1,wqFu0L5LcPF,Nsit Ubium Primary Health Centre,Akwa Ibom,Nsit Ubium,ak Nsit Ubium,pRNjUammgeK,uURIdxN44t7,uURIdxN44t7,0,1,7.96004174,4.748460642
